00001090
Patient ID: Beamcheck
Studyset ID: beamcheck
Plan ID: (null)
Doc: 05220121122.084116.100
S:  0.00 cm
Y:  0.00 cm
Z: 15.00 cm
Angle:  0.00 deg.
Distance (cm)	Dose (cGy)
  -15.000	    0.000
  -14.900	    0.000
  -14.800	    0.000
  -14.700	    0.000
  -14.600	    0.000
  -14.500	    0.000
  -14.400	    0.000
  -14.300	    0.000
  -14.200	    0.000
  -14.100	    0.000
  -14.000	    0.000
  -13.900	    0.000
  -13.800	    0.000
  -13.700	    0.000
  -13.600	    0.000
  -13.500	    0.000
  -13.400	    0.000
  -13.300	    0.000
  -13.200	    0.000
  -13.100	    0.000
  -13.000	    0.000
  -12.900	    0.000
  -12.800	    0.000
  -12.700	    0.000
  -12.600	    0.000
  -12.500	    0.000
  -12.400	    0.000
  -12.300	    0.000
  -12.200	    0.000
  -12.100	    0.000
  -12.000	    0.000
  -11.900	    0.000
  -11.800	    0.000
  -11.700	    0.000
  -11.600	    0.000
  -11.500	    0.000
  -11.400	    0.000
  -11.300	    0.000
  -11.200	    0.000
  -11.100	    0.000
  -11.000	    0.000
  -10.900	    0.000
  -10.800	    0.000
  -10.700	    0.000
  -10.600	    0.000
  -10.500	    0.000
  -10.400	    0.000
  -10.300	    0.000
  -10.200	    0.000
  -10.100	    0.000
  -10.000	    0.000
   -9.900	    0.000
   -9.800	    0.000
   -9.700	    0.000
   -9.600	    0.000
   -9.500	    0.000
   -9.400	    0.000
   -9.300	    0.000
   -9.200	    0.000
   -9.100	    0.000
   -9.000	    0.000
   -8.900	    0.003
   -8.800	    0.007
   -8.700	    0.007
   -8.600	    0.007
   -8.500	    0.010
   -8.400	    0.013
   -8.300	    0.017
   -8.200	    0.020
   -8.100	    0.024
   -8.000	    0.027
   -7.900	    0.037
   -7.800	    0.047
   -7.700	    0.057
   -7.600	    0.067
   -7.500	    0.078
   -7.400	    0.088
   -7.300	    0.105
   -7.200	    0.121
   -7.100	    0.148
   -7.000	    0.175
   -6.900	    0.209
   -6.800	    0.243
   -6.700	    0.310
   -6.600	    0.378
   -6.500	    0.442
