00001090
Patient ID: phantom
Studyset ID: 40x40
Plan ID: (null)
Doc: 19220100118.093907.001
T:  0.00 cm
X:  0.00 cm
Z: 20.00 cm
Angle: 90.00 deg.
Distance (cm)	Dose (cGy)
  -30.000	  338.000
  -29.900	  339.800
  -29.800	  341.600
  -29.700	  343.400
  -29.600	  345.300
  -29.500	  347.200
  -29.400	  349.000
  -29.300	  350.900
  -29.200	  352.800
  -29.100	  354.700
  -29.000	  356.600
  -28.900	  358.600
  -28.800	  360.500
  -28.700	  362.400
  -28.600	  364.400
  -28.500	  366.400
  -28.400	  368.300
  -28.300	  370.300
  -28.200	  372.300
  -28.100	  374.300
  -28.000	  376.300
  -27.900	  378.300
  -27.800	  380.400
  -27.700	  382.500
  -27.600	  384.500
  -27.500	  386.600
  -27.400	  388.700
  -27.300	  390.800
  -27.200	  393.000
  -27.100	  395.100
  -27.000	  397.200
  -26.900	  399.400
  -26.800	  401.600
  -26.700	  403.700
  -26.600	  405.900
  -26.500	  408.100
  -26.400	  410.300
  -26.300	  412.600
  -26.200	  414.800
  -26.100	  417.000
  -26.000	  419.300
  -25.900	  421.600
  -25.800	  423.900
  -25.700	  426.200
  -25.600	  428.500
  -25.500	  430.900
  -25.400	  433.200
  -25.300	  435.600
  -25.200	  437.900
  -25.100	  440.300
  -25.000	  442.700
  -24.900	  445.200
  -24.800	  447.600
  -24.700	  450.000
  -24.600	  452.500
  -24.500	  455.000
  -24.400	  457.400
  -24.300	  459.900
  -24.200	  462.400
  -24.100	  464.900
  -24.000	  467.500
  -23.900	  470.000
  -23.800	  472.600
  -23.700	  475.200
  -23.600	  477.800
  -23.500	  480.400
  -23.400	  483.100
  -23.300	  485.700
  -23.200	  488.400
  -23.100	  491.100
  -23.000	  493.700
  -22.900	  496.400
  -22.800	  499.200
  -22.700	  501.900
  -22.600	  504.600
  -22.500	  507.400
  -22.400	  510.200
  -22.300	  512.900
  -22.200	  515.700
  -22.100	  518.500
  -22.000	  521.400
  -21.900	  524.300
  -21.800	  527.100
  -21.700	  530.000
  -21.600	  532.900
  -21.500	  535.900
  -21.400	  538.800
  -21.300	  541.800
  -21.200	  544.700
  -21.100	  547.700
  -21.000	  550.800
  -20.900	  553.800
  -20.800	  556.800
  -20.700	  559.900
  -20.600	  562.900
  -20.500	  566.000
  -20.400	  569.100
  -20.300	  572.200
  -20.200	  575.400
  -20.100	  578.500
  -20.000	  581.600
  -19.900	  584.800
  -19.800	  588.000
  -19.700	  591.300
  -19.600	  594.500
  -19.500	  597.800
  -19.400	  601.100
  -19.300	  604.400
  -19.200	  607.700
  -19.100	  611.100
  -19.000	  614.400
  -18.900	  617.800
  -18.800	  621.200
  -18.700	  624.600
  -18.600	  628.000
  -18.500	  631.500
  -18.400	  635.000
  -18.300	  638.400
  -18.200	  641.900
  -18.100	  645.400
  -18.000	  648.900
  -17.900	  652.500
  -17.800	  656.100
  -17.700	  659.700
  -17.600	  663.300
  -17.500	  667.000
  -17.400	  670.700
  -17.300	  674.400
  -17.200	  678.100
  -17.100	  681.800
  -17.000	  685.600
  -16.900	  689.300
  -16.800	  693.100
  -16.700	  696.900
  -16.600	  700.800
  -16.500	  704.600
  -16.400	  708.500
  -16.300	  712.300
  -16.200	  716.200
  -16.100	  720.100
  -16.000	  724.000
  -15.900	  728.000
  -15.800	  732.000
  -15.700	  736.000
  -15.600	  740.000
  -15.500	  744.100
  -15.400	  748.200
  -15.300	  752.300
  -15.200	  756.400
  -15.100	  760.500
  -15.000	  764.700
  -14.900	  768.900
  -14.800	  773.000
  -14.700	  777.300
  -14.600	  781.500
  -14.500	  785.700
  -14.400	  790.000
  -14.300	  794.300
  -14.200	  798.500
  -14.100	  802.900
  -14.000	  807.200
  -13.900	  811.600
  -13.800	  816.100
  -13.700	  820.500
  -13.600	  825.000
  -13.500	  829.400
  -13.400	  833.900
  -13.300	  838.500
  -13.200	  843.000
  -13.100	  847.600
  -13.000	  852.200
  -12.900	  856.800
  -12.800	  861.500
  -12.700	  866.100
  -12.600	  870.800
  -12.500	  875.500
  -12.400	  880.200
  -12.300	  885.000
  -12.200	  889.700
  -12.100	  894.500
  -12.000	  899.300
  -11.900	  904.100
  -11.800	  908.900
  -11.700	  913.900
  -11.600	  918.800
  -11.500	  923.700
  -11.400	  928.700
  -11.300	  933.600
  -11.200	  938.600
  -11.100	  943.700
  -11.000	  948.700
  -10.900	  953.800
  -10.800	  958.800
  -10.700	  963.900
  -10.600	  969.000
  -10.500	  974.200
  -10.400	  979.300
  -10.300	  984.500
  -10.200	  989.700
  -10.100	  994.800
  -10.000	 1000.000
   -9.900	 1005.200
   -9.800	 1010.500
   -9.700	 1015.800
   -9.600	 1021.200
   -9.500	 1026.500
   -9.400	 1031.900
   -9.300	 1037.300
   -9.200	 1042.700
   -9.100	 1048.100
   -9.000	 1053.600
   -8.900	 1059.000
   -8.800	 1064.600
   -8.700	 1070.100
   -8.600	 1075.600
   -8.500	 1081.100
   -8.400	 1086.700
   -8.300	 1092.300
   -8.200	 1097.900
   -8.100	 1103.400
   -8.000	 1109.000
   -7.900	 1114.600
   -7.800	 1120.400
   -7.700	 1126.100
   -7.600	 1131.800
   -7.500	 1137.500
   -7.400	 1143.300
   -7.300	 1149.100
   -7.200	 1154.900
   -7.100	 1160.700
   -7.000	 1166.500
   -6.900	 1172.400
   -6.800	 1178.200
   -6.700	 1184.100
   -6.600	 1190.000
   -6.500	 1195.800
   -6.400	 1201.700
   -6.300	 1207.700
   -6.200	 1213.500
   -6.100	 1219.400
   -6.000	 1225.300
   -5.900	 1231.300
   -5.800	 1237.300
   -5.700	 1243.300
   -5.600	 1249.300
   -5.500	 1255.400
   -5.400	 1261.500
   -5.300	 1267.500
   -5.200	 1273.500
   -5.100	 1279.600
   -5.000	 1285.700
   -4.900	 1291.800
   -4.800	 1297.900
   -4.700	 1304.000
   -4.600	 1310.100
   -4.500	 1316.300
   -4.400	 1322.300
   -4.300	 1328.500
   -4.200	 1334.600
   -4.100	 1340.700
   -4.000	 1346.800
   -3.900	 1352.800
   -3.800	 1358.800
   -3.700	 1364.900
   -3.600	 1371.000
   -3.500	 1377.100
   -3.400	 1383.100
   -3.300	 1390.300
   -3.200	 1398.500
   -3.100	 1407.200
   -3.000	 1414.800
   -2.900	 1420.900
   -2.800	 1427.000
   -2.700	 1433.300
   -2.600	 1439.600
   -2.500	 1445.400
   -2.400	 1451.300
   -2.300	 1457.200
   -2.200	 1463.000
   -2.100	 1469.000
   -2.000	 1475.100
   -1.900	 1479.700
   -1.800	 1484.100
   -1.700	 1488.100
   -1.600	 1491.100
   -1.500	 1492.900
   -1.400	 1493.200
   -1.300	 1491.900
   -1.200	 1488.100
   -1.100	 1481.500
   -1.000	 1469.700
   -0.900	 1451.900
   -0.800	 1427.900
   -0.700	 1392.500
   -0.600	 1347.300
   -0.500	 1292.200
   -0.400	 1212.900
   -0.300	 1121.600
   -0.200	 1019.300
