Delivery System	selftest9	
Energy	10 MV	
Scan Type	PDD	
Depth		
Field	9.6cm x 10.4cm (Jaws)	
Wedge	Open Field	
Comments	10.4x9.6	

	9.6cm x 10.4cm : ScanId=397	
0	80.71	
0.25	113.77	
0.5	149.84	
0.75	172.46	
1	186.76	
1.25	195.96	
1.5	201.36	
1.75	204.40	
2	205.77	
2.25	205.73	
2.5	205.31	
2.75	204.10	
3	202.46	
3.25	200.92	
3.5	199.08	
3.75	196.94	
4	195.13	
4.25	192.92	
4.5	190.81	
4.75	188.82	
5	187.08	
5.25	184.98	
5.5	182.95	
5.75	181.29	
6	179.22	
6.25	177.28	
6.5	175.06	
6.75	173.23	
7	171.33	
7.25	169.44	
7.5	167.71	
7.75	166.01	
8	164.20	
8.25	161.81	
8.5	160.28	
8.75	158.62	
9	156.67	
9.25	154.86	
9.5	153.04	
9.75	151.19	
10	149.59	
10.25	147.76	
10.5	146.02	
10.75	144.55	
11	142.60	
11.25	141.07	
11.5	139.66	
11.75	137.88	
12	136.61	
12.25	134.80	
12.5	133.42	
12.75	131.58	
13	130.12	
13.25	128.50	
13.5	127.35	
13.75	125.75	
14	124.09	
14.25	122.58	
14.5	121.44	
14.75	119.82	
15	118.34	
15.25	117.15	
15.5	115.94	
15.75	114.48	
16	113.20	
16.25	111.63	
16.5	110.57	
16.75	109.41	
17	108.22	
17.25	106.60	
17.5	105.72	
17.75	104.08	
18	102.83	
18.25	101.79	
18.5	100.56	
18.75	99.23	
19	98.11	
19.25	97.18	
19.5	96.00	
19.75	94.77	
20	93.78	
20.25	92.77	
20.5	91.56	
20.75	90.56	
21	89.61	
21.25	88.46	
21.5	87.49	
21.75	86.32	
22	85.22	
22.25	84.50	
22.5	83.47	
22.75	82.48	
23	81.46	
23.25	80.65	
23.5	79.61	
23.75	78.77	
24	77.93	
24.25	76.99	
24.5	76.01	
24.75	75.31	
25	74.34	
25.25	73.48	
25.5	72.59	
25.75	71.70	
26	70.88	
26.25	70.06	
26.5	69.33	
26.75	68.49	
27	67.78	
27.25	67.02	
27.5	66.09	
27.75	65.35	
28	64.55	
28.25	63.77	
28.5	63.14	
28.75	62.46	
29	61.63	
29.25	61.03	
29.5	60.31	
29.75	59.65	
30	58.79	
