06/12/2012 14:46:31

Radiation device:	selftest
Energy:	6 MV
Controller:	CCU
Measurement device:	NWP484841
Field detector:	Thimble
Reference detector:	Diode
SAD:	1000 mm
SSD:	1000 mm
Field size:	210 x 210 mm
Gantry angle:	0
Measurement medium:	Water
Scan type:	Inline
Scan mode:	Continuous


Points [mm]	Inline	Crossline	Depth	Normalized field	Current field	Ratio
	-200.0	0.0	50.0	1.3	1395	1.3
	-199.6	0.0	50.0	1.4	1400	1.3
	-198.8	0.0	50.0	1.3	1390	1.3
	-198.2	0.0	50.0	1.4	1410	1.4
	-197.5	0.0	50.0	1.4	1464	1.4
	-196.9	0.0	50.0	1.2	1220	1.2
	-196.3	0.0	50.0	1.3	1373	1.3
	-195.7	0.0	50.0	1.7	1758	1.7
	-195.2	0.0	50.0	1.4	1423	1.4
	-194.7	0.0	50.0	1.5	1550	1.5
	-194.3	0.0	50.0	1.3	1388	1.3
	-193.8	0.0	50.0	1.5	1571	1.5
	-193.3	0.0	50.0	1.5	1529	1.5
	-192.9	0.0	50.0	1.5	1573	1.5
	-192.4	0.0	50.0	1.4	1498	1.4
	-191.9	0.0	50.0	1.4	1486	1.4
	-191.4	0.0	50.0	1.6	1690	1.6
	-190.9	0.0	50.0	1.6	1630	1.6
	-190.3	0.0	50.0	1.5	1597	1.5
	-189.8	0.0	50.0	1.5	1601	1.5
	-189.3	0.0	50.0	1.5	1518	1.5
	-188.8	0.0	50.0	1.6	1661	1.6
	-188.3	0.0	50.0	1.6	1652	1.6
	-187.7	0.0	50.0	1.7	1750	1.7
	-187.2	0.0	50.0	1.6	1697	1.6
	-186.7	0.0	50.0	1.6	1631	1.6
	-186.2	0.0	50.0	1.5	1518	1.5
	-185.7	0.0	50.0	1.8	1859	1.8
	-185.2	0.0	50.0	1.6	1640	1.6
	-184.7	0.0	50.0	1.7	1728	1.7
	-184.2	0.0	50.0	1.7	1791	1.7
	-183.7	0.0	50.0	1.8	1844	1.8
	-183.2	0.0	50.0	1.8	1818	1.7
	-182.6	0.0	50.0	1.7	1796	1.7
	-182.1	0.0	50.0	1.7	1735	1.7
	-181.6	0.0	50.0	1.7	1810	1.7
	-181.1	0.0	50.0	1.9	1995	1.9
	-180.5	0.0	50.0	1.8	1817	1.7
	-180.1	0.0	50.0	1.8	1899	1.8
	-179.6	0.0	50.0	1.9	1930	1.9
	-179.1	0.0	50.0	1.7	1796	1.7
	-178.6	0.0	50.0	1.9	1935	1.9
	-178.1	0.0	50.0	2.0	2032	2.0
	-177.5	0.0	50.0	2.0	2046	2.0
	-177.0	0.0	50.0	1.8	1906	1.8
	-176.5	0.0	50.0	1.9	1982	1.9
	-176.0	0.0	50.0	2.0	2027	2.0
	-175.5	0.0	50.0	1.9	1985	1.9
	-175.0	0.0	50.0	2.1	2132	2.0
	-174.5	0.0	50.0	1.9	2014	1.9
	-174.0	0.0	50.0	2.1	2183	2.1
	-173.5	0.0	50.0	2.0	2102	2.0
	-173.0	0.0	50.0	2.0	2106	2.0
	-172.4	0.0	50.0	2.0	2051	2.0
	-171.9	0.0	50.0	2.4	2453	2.4
	-171.4	0.0	50.0	2.0	2028	2.0
	-170.9	0.0	50.0	2.0	2054	2.0
	-170.5	0.0	50.0	2.3	2427	2.3
	-169.9	0.0	50.0	2.3	2344	2.3
	-169.4	0.0	50.0	2.2	2318	2.2
	-168.8	0.0	50.0	2.2	2278	2.2
	-168.3	0.0	50.0	2.2	2259	2.2
	-167.9	0.0	50.0	2.4	2536	2.4
	-167.4	0.0	50.0	2.5	2561	2.5
	-166.9	0.0	50.0	2.4	2471	2.4
	-166.3	0.0	50.0	2.5	2542	2.4
	-165.8	0.0	50.0	2.4	2472	2.4
	-165.3	0.0	50.0	2.4	2526	2.4
	-164.8	0.0	50.0	2.6	2686	2.6
	-164.3	0.0	50.0	2.5	2593	2.5
	-163.8	0.0	50.0	2.5	2552	2.5
	-163.3	0.0	50.0	2.5	2616	2.5
	-162.8	0.0	50.0	2.6	2708	2.6
	-162.3	0.0	50.0	2.7	2748	2.6
	-161.8	0.0	50.0	2.6	2655	2.5
	-161.3	0.0	50.0	2.8	2873	2.8
	-160.7	0.0	50.0	2.6	2742	2.6
	-160.2	0.0	50.0	2.9	2955	2.8
	-159.7	0.0	50.0	2.7	2787	2.7
	-159.2	0.0	50.0	2.8	2854	2.7
	-158.7	0.0	50.0	2.9	2962	2.9
	-158.2	0.0	50.0	2.8	2943	2.8
	-157.7	0.0	50.0	3.0	3068	3.0
	-157.1	0.0	50.0	2.9	3010	2.9
	-156.6	0.0	50.0	3.0	3082	3.0
	-156.1	0.0	50.0	3.1	3172	3.1
	-155.6	0.0	50.0	3.0	3103	3.0
	-155.1	0.0	50.0	3.2	3338	3.2
	-154.6	0.0	50.0	3.0	3075	3.0
	-154.1	0.0	50.0	3.2	3348	3.2
	-153.6	0.0	50.0	3.1	3224	3.1
	-153.1	0.0	50.0	3.3	3398	3.3
	-152.6	0.0	50.0	3.2	3334	3.2
	-152.1	0.0	50.0	3.3	3462	3.3
	-151.6	0.0	50.0	3.4	3555	3.4
	-151.0	0.0	50.0	3.2	3338	3.2
	-150.5	0.0	50.0	3.5	3627	3.5
	-150.1	0.0	50.0	3.3	3430	3.3
	-149.6	0.0	50.0	3.7	3849	3.7
	-149.1	0.0	50.0	3.5	3663	3.5
	-148.6	0.0	50.0	3.6	3719	3.6
	-148.1	0.0	50.0	3.8	3966	3.8
	-147.6	0.0	50.0	3.7	3784	3.6
	-147.0	0.0	50.0	3.8	3983	3.8
	-146.5	0.0	50.0	3.7	3825	3.7
	-146.0	0.0	50.0	4.0	4120	3.9
	-145.5	0.0	50.0	3.8	3924	3.8
	-145.0	0.0	50.0	4.1	4251	4.1
	-144.4	0.0	50.0	4.0	4167	4.0
	-143.9	0.0	50.0	4.2	4330	4.2
	-143.5	0.0	50.0	4.1	4219	4.0
	-143.0	0.0	50.0	4.3	4434	4.3
	-142.5	0.0	50.0	4.2	4369	4.2
	-142.0	0.0	50.0	4.3	4494	4.3
	-141.4	0.0	50.0	4.5	4630	4.5
