4-5-2011 15:15:59

Radiation device:	U03 Accelerator
Energy:	6 MeV
Controller:	CU500E
Measurement device:	BlueWP484841
Field detector:	Diode
Reference detector:	Undefined
SAD:	1000 mm
SSD:	1000 mm
Field size:	60 x 100 mm
Gantry angle:	0
Measurement medium:	Water
Scan type:	Inline
Scan mode:	Continuous

Points [mm]:
Inline	Crossline	Depth	Normalized field	Current field	Ratio
71.0	0.0	13.0	0.8	0	0.0
70.5	0.0	13.0	0.9	0	0.0
70.1	0.0	13.0	0.8	0	0.0
69.6	0.0	13.0	0.8	0	0.0
69.3	0.0	13.0	0.8	0	0.0
68.8	0.0	13.0	0.8	0	0.0
68.3	0.0	13.0	0.8	0	0.0
67.8	0.0	13.0	0.8	0	0.0
67.3	0.0	13.0	0.8	0	0.0
66.8	0.0	13.0	0.8	0	0.0
66.3	0.0	13.0	0.8	0	0.0
66.0	0.0	13.0	1.0	0	0.0
65.7	0.0	13.0	0.9	0	0.0
65.3	0.0	13.0	1.0	0	0.0
65.0	0.0	13.0	1.0	0	0.0
64.5	0.0	13.0	1.1	0	0.0
64.2	0.0	13.0	1.0	0	0.0
63.7	0.0	13.0	1.1	0	0.0
63.2	0.0	13.0	1.0	0	0.0
62.7	0.0	13.0	1.1	0	0.0
62.3	0.0	13.0	1.0	0	0.0
62.0	0.0	13.0	1.2	0	0.0
61.7	0.0	13.0	1.2	0	0.0
61.2	0.0	13.0	1.3	0	0.0
60.9	0.0	13.0	1.3	0	0.0
60.4	0.0	13.0	1.2	0	0.0
60.1	0.0	13.0	1.3	0	0.0
59.6	0.0	13.0	1.3	0	0.0
59.2	0.0	13.0	1.4	0	0.0
58.9	0.0	13.0	1.5	0	0.0
58.4	0.0	13.0	1.5	0	0.0
58.1	0.0	13.0	1.5	0	0.0
57.8	0.0	13.0	1.5	0	0.0
57.4	0.0	13.0	1.6	0	0.0
57.1	0.0	13.0	1.7	0	0.0
56.8	0.0	13.0	1.7	0	0.0
56.4	0.0	13.0	1.8	0	0.0
56.0	0.0	13.0	1.8	0	0.0
55.5	0.0	13.0	1.9	0	0.0
55.1	0.0	13.0	2.0	0	0.0
54.8	0.0	13.0	2.1	0	0.0
54.5	0.0	13.0	2.0	0	0.0
54.1	0.0	13.0	2.2	0	0.0
53.8	0.0	13.0	2.3	0	0.0
53.5	0.0	13.0	2.4	0	0.0
53.0	0.0	13.0	2.6	0	0.0
52.5	0.0	13.0	2.7	0	0.0
52.0	0.0	13.0	3.1	0	0.0
51.7	0.0	13.0	3.1	0	0.0
