1/18/2013 5:32:14 PM

Radiation device:	U03 Accelerator
Energy:	6 MV
Controller:	CCU
Measurement device:	NWP484841
Field detector:	Thimble
Reference detector:	Thimble
SAD:	1000 mm
SSD:	1000 mm
Field size:	400 x 400 mm
Gantry angle:	0
Measurement medium:	Water
Scan type:	Inline
Scan mode:	Continuous

Points [mm]:
Inline	Crossline	Depth	Normalized field	Current field	Ratio
230.0	0.0	50.0	8.9	28202	9.7
228.8	0.0	50.0	9.0	28755	9.8
227.1	0.0	50.0	9.7	30963	10.5
225.1	0.0	50.0	10.0	31896	10.8
224.2	0.0	50.0	10.6	33606	11.3
223.0	0.0	50.0	11.1	35359	11.7
221.8	0.0	50.0	11.7	37094	12.3
220.6	0.0	50.0	12.3	39071	13.0
219.4	0.0	50.0	13.1	41635	13.8
218.2	0.0	50.0	14.4	45633	15.1
217.0	0.0	50.0	16.3	51896	17.2
215.8	0.0	50.0	20.2	64126	21.2
214.5	0.0	50.0	26.6	84485	27.6
213.3	0.0	50.0	34.9	110901	36.1
212.1	0.0	50.0	45.2	143642	46.9
210.9	0.0	50.0	57.0	181073	58.8
209.7	0.0	50.0	67.8	215525	70.4
208.5	0.0	50.0	77.9	247563	81.0
207.3	0.0	50.0	84.7	269203	88.0
206.0	0.0	50.0	88.4	280802	91.4
204.8	0.0	50.0	91.1	289520	93.5
203.6	0.0	50.0	92.9	295283	94.6
202.4	0.0	50.0	94.0	298607	95.3
201.2	0.0	50.0	94.6	300481	95.7
200.0	0.0	50.0	95.1	302174	96.2
198.8	0.0	50.0	95.1	302229	96.5
197.6	0.0	50.0	95.4	303171	97.1
196.3	0.0	50.0	95.3	302913	97.2
195.1	0.0	50.0	95.4	303117	97.3
193.9	0.0	50.0	96.0	305186	97.4
192.7	0.0	50.0	96.2	305674	97.6
191.5	0.0	50.0	96.1	305420	97.5
190.2	0.0	50.0	96.6	306954	97.7
189.0	0.0	50.0	97.1	308564	98.0
187.7	0.0	50.0	97.3	309356	98.4
186.5	0.0	50.0	97.4	309413	98.1
185.2	0.0	50.0	97.7	310465	98.5
184.0	0.0	50.0	97.9	311131	98.6
182.8	0.0	50.0	98.1	311819	98.8
181.6	0.0	50.0	97.9	311148	98.9
180.5	0.0	50.0	98.1	311805	99.0
179.4	0.0	50.0	98.0	311503	98.9
178.1	0.0	50.0	98.2	312224	99.1
176.9	0.0	50.0	98.5	313040	99.0
175.7	0.0	50.0	98.8	314131	99.2
174.5	0.0	50.0	98.6	313230	99.1
173.2	0.0	50.0	98.7	313752	99.2
171.9	0.0	50.0	99.0	314526	99.7
170.6	0.0	50.0	99.4	315858	99.7
169.3	0.0	50.0	99.1	315065	99.5
168.0	0.0	50.0	99.6	316373	99.9
166.9	0.0	50.0	99.5	316133	99.9
165.8	0.0	50.0	99.5	316065	99.9
164.7	0.0	50.0	100.0	317831	100.3
163.5	0.0	50.0	99.9	317369	99.9
162.3	0.0	50.0	100.2	318485	100.3
161.0	0.0	50.0	100.2	318427	100.3
159.8	0.0	50.0	100.1	318161	100.2
158.7	0.0	50.0	99.9	317582	99.9
157.4	0.0	50.0	100.0	317726	100.0
156.2	0.0	50.0	99.8	317194	99.8
154.9	0.0	50.0	99.9	317513	99.8
153.7	0.0	50.0	100.1	317964	100.0
152.4	0.0	50.0	100.1	318026	100.0
151.2	0.0	50.0	100.1	317957	99.7
150.0	0.0	50.0	99.8	317108	99.7
148.8	0.0	50.0	99.7	316799	99.7
147.7	0.0	50.0	99.7	316725	99.7
146.5	0.0	50.0	99.8	317236	99.8
145.4	0.0	50.0	99.6	316488	99.5
144.1	0.0	50.0	99.8	317065	99.5
142.9	0.0	50.0	99.7	316886	99.6
141.7	0.0	50.0	100.0	317941	100.0
140.4	0.0	50.0	99.9	317454	99.7
139.2	0.0	50.0	99.8	317194	99.5
138.0	0.0	50.0	99.6	316372	99.3
136.8	0.0	50.0	99.9	317396	99.6
135.6	0.0	50.0	99.8	317047	99.5
134.4	0.0	50.0	99.7	316747	99.3
133.2	0.0	50.0	99.7	316732	99.5
132.0	0.0	50.0	99.6	316521	99.3
130.8	0.0	50.0	99.4	315972	99.1
129.5	0.0	50.0	99.8	317037	99.5
128.3	0.0	50.0	99.8	317103	99.3
127.1	0.0	50.0	99.7	316817	99.4
125.9	0.0	50.0	99.6	316657	99.2
124.7	0.0	50.0	99.6	316490	99.2
123.5	0.0	50.0	99.7	316778	99.4
122.3	0.0	50.0	99.6	316361	99.2
121.1	0.0	50.0	99.6	316462	99.1
119.8	0.0	50.0	99.7	316797	99.0
118.6	0.0	50.0	99.5	316294	98.9
117.4	0.0	50.0	99.6	316449	99.2
116.2	0.0	50.0	99.6	316651	99.3
115.0	0.0	50.0	99.5	316310	99.1
113.8	0.0	50.0	99.7	316737	99.1
112.6	0.0	50.0	99.5	316324	99.0
111.3	0.0	50.0	99.6	316374	99.1
110.1	0.0	50.0	99.7	316755	99.3
108.9	0.0	50.0	99.6	316554	99.0
107.7	0.0	50.0	99.9	317399	99.3
106.4	0.0	50.0	99.6	316587	99.3
105.2	0.0	50.0	99.9	317595	99.4
104.0	0.0	50.0	99.8	317096	99.3
102.8	0.0	50.0	99.9	317416	99.3
101.6	0.0	50.0	100.1	318143	99.6
100.4	0.0	50.0	100.1	318242	99.7
99.1	0.0	50.0	100.0	317799	99.6
