4-2-2013 15:29:17

Radiation device:	U12 Accelerator
Energy:	6 MV
Controller:	CCU
Measurement device:	NWP484841
Field detector:	Thimble
Reference detector:	Thimble
SAD:	1000 mm
SSD:	1000 mm
Field size:	100 x 100 mm
Gantry angle:	0
Measurement medium:	Water
Scan type:	Beam
Scan mode:	Continuous

Points [mm]:
Inline	Crossline	Depth	Normalized field	Current field	Ratio
0.0	0.0	320.0	24.1	72721	33.7
0.0	0.0	319.5	24.1	72741	33.8
0.0	0.0	318.6	24.4	73680	34.1
0.0	0.0	317.9	24.4	73513	34.1
0.0	0.0	317.2	24.5	73952	34.4
0.0	0.0	316.6	24.5	73844	34.2
0.0	0.0	316.0	24.6	74131	34.4
0.0	0.0	315.5	24.8	74815	34.6
0.0	0.0	314.9	24.6	74164	34.5
0.0	0.0	314.5	25.0	75365	34.9
0.0	0.0	314.0	24.9	75048	34.9
0.0	0.0	313.6	24.9	75147	34.9
0.0	0.0	313.2	25.1	75716	35.0
0.0	0.0	312.7	25.1	75584	35.0
0.0	0.0	312.3	25.0	75383	35.1
0.0	0.0	311.7	25.2	76006	35.3
0.0	0.0	311.2	25.3	76371	35.4
0.0	0.0	310.6	25.3	76166	35.4
0.0	0.0	310.1	25.5	76851	35.6
0.0	0.0	309.6	25.5	76941	35.6
0.0	0.0	309.1	25.7	77496	35.9
0.0	0.0	308.6	25.7	77332	35.9
0.0	0.0	308.0	25.7	77538	35.9
0.0	0.0	307.5	25.8	77898	36.2
0.0	0.0	307.0	25.9	78066	36.1
0.0	0.0	306.5	26.0	78306	36.3
0.0	0.0	306.0	25.8	77932	36.1
0.0	0.0	305.5	26.0	78409	36.4
0.0	0.0	305.0	26.1	78661	36.5
0.0	0.0	304.5	26.2	78988	36.7
0.0	0.0	304.0	26.2	79041	36.7
0.0	0.0	303.5	26.3	79151	36.7
0.0	0.0	303.0	26.4	79486	36.9
0.0	0.0	302.4	26.4	79709	37.0
0.0	0.0	301.9	26.5	79857	37.1
0.0	0.0	301.4	26.6	80077	37.1
0.0	0.0	300.9	26.7	80440	37.3
0.0	0.0	300.4	26.7	80616	37.5
0.0	0.0	299.9	26.7	80502	37.4
0.0	0.0	299.4	26.8	80815	37.5
0.0	0.0	298.9	27.1	81651	37.9
0.0	0.0	298.4	27.0	81289	37.8
0.0	0.0	297.9	27.1	81690	37.8
0.0	0.0	297.4	27.3	82449	38.2
0.0	0.0	296.9	27.1	81730	38.0
0.0	0.0	296.3	27.5	82863	38.4
0.0	0.0	295.8	27.5	82779	38.4
0.0	0.0	295.3	27.6	83250	38.6
0.0	0.0	294.8	27.6	83225	38.7
0.0	0.0	294.3	27.6	83160	38.6
0.0	0.0	293.8	27.7	83432	38.7
0.0	0.0	293.3	27.8	83953	39.0
0.0	0.0	292.8	28.0	84320	39.2
0.0	0.0	292.3	28.0	84484	39.2
0.0	0.0	291.8	28.0	84406	39.1
0.0	0.0	291.3	28.1	84704	39.3
0.0	0.0	290.7	28.2	84925	39.5
0.0	0.0	290.2	28.2	85154	39.5
0.0	0.0	289.7	28.3	85433	39.6
0.0	0.0	289.2	28.4	85559	39.7
0.0	0.0	288.7	28.5	85824	40.0
0.0	0.0	288.1	28.6	86226	40.0
0.0	0.0	287.6	28.7	86491	40.1
0.0	0.0	287.1	28.9	87191	40.4
0.0	0.0	286.6	28.8	86894	40.3
0.0	0.0	286.1	28.8	86750	40.3
0.0	0.0	285.6	28.8	86886	40.3
0.0	0.0	285.1	29.1	87834	40.8
0.0	0.0	284.5	28.9	87179	40.5
0.0	0.0	284.0	29.2	88003	40.9
0.0	0.0	283.5	29.2	87982	40.9
0.0	0.0	283.0	29.4	88532	41.1
0.0	0.0	282.5	29.4	88749	41.3
0.0	0.0	282.0	29.6	89359	41.5
0.0	0.0	281.5	29.5	88885	41.4
0.0	0.0	281.0	29.7	89431	41.6
0.0	0.0	280.5	29.9	89997	41.7
0.0	0.0	280.0	29.8	89894	41.7
0.0	0.0	279.5	30.0	90294	41.9
0.0	0.0	279.0	29.9	90288	41.9
0.0	0.0	278.4	30.1	90672	42.0
0.0	0.0	277.9	30.2	91184	42.3
0.0	0.0	277.4	30.2	91116	42.3
0.0	0.0	276.9	30.2	91173	42.4
0.0	0.0	276.4	30.4	91614	42.6
0.0	0.0	275.9	30.5	91901	42.7
0.0	0.0	275.4	30.5	91978	42.7
0.0	0.0	274.9	30.5	91953	42.7
0.0	0.0	274.4	30.6	92351	42.9
0.0	0.0	273.9	30.7	92694	42.9
0.0	0.0	273.4	30.8	92749	43.1
0.0	0.0	272.9	31.0	93403	43.4
0.0	0.0	272.4	31.0	93407	43.3
0.0	0.0	271.9	31.1	93717	43.6
0.0	0.0	271.4	31.2	93922	43.5
0.0	0.0	270.8	31.4	94553	43.9
0.0	0.0	270.3	31.4	94613	43.9
0.0	0.0	269.8	31.5	95089	44.2
0.0	0.0	269.3	31.4	94812	44.0
0.0	0.0	268.8	31.7	95473	44.3
0.0	0.0	268.3	31.6	95355	44.4
0.0	0.0	267.8	31.9	96025	44.6
0.0	0.0	267.3	31.9	96250	44.7
0.0	0.0	266.7	32.0	96521	44.9
0.0	0.0	266.2	32.0	96466	44.9
0.0	0.0	265.7	32.0	96592	45.0
0.0	0.0	265.2	32.1	96788	45.0
0.0	0.0	264.7	32.3	97343	45.1
0.0	0.0	264.1	32.4	97778	45.5
0.0	0.0	263.6	32.6	98215	45.7
0.0	0.0	263.1	32.7	98479	45.7
0.0	0.0	262.6	32.7	98587	45.9
0.0	0.0	262.1	32.7	98585	45.8
0.0	0.0	261.7	32.9	99052	46.0
0.0	0.0	261.2	32.8	98848	46.1
0.0	0.0	260.7	33.0	99588	46.2
0.0	0.0	260.2	33.1	99722	46.4
0.0	0.0	259.6	33.1	99749	46.3
0.0	0.0	259.2	33.0	99539	46.4
0.0	0.0	258.6	33.3	100367	46.7
0.0	0.0	258.1	33.3	100521	46.6
0.0	0.0	257.6	33.3	100262	46.5
0.0	0.0	257.1	33.6	101208	47.1
0.0	0.0	256.6	33.5	101045	47.1
0.0	0.0	256.1	33.6	101336	47.0
0.0	0.0	255.6	33.9	102109	47.4
0.0	0.0	255.1	34.0	102427	47.6
0.0	0.0	254.6	34.0	102393	47.6
0.0	0.0	254.1	34.1	102784	47.7
0.0	0.0	253.6	34.2	102971	47.8
0.0	0.0	253.1	34.2	103126	48.0
0.0	0.0	252.6	34.3	103430	48.1
0.0	0.0	252.0	34.6	104174	48.4
0.0	0.0	251.5	34.7	104658	48.6
0.0	0.0	251.0	34.6	104430	48.6
0.0	0.0	250.4	34.8	105043	48.8
0.0	0.0	249.9	35.0	105465	49.0
0.0	0.0	249.4	35.0	105648	49.2
0.0	0.0	248.9	35.1	105746	49.1
0.0	0.0	248.4	35.2	106206	49.2
0.0	0.0	247.9	35.3	106443	49.4
0.0	0.0	247.3	35.5	107020	49.7
0.0	0.0	246.8	35.6	107200	49.9
0.0	0.0	246.3	35.7	107772	50.1
0.0	0.0	245.8	35.9	108180	50.3
0.0	0.0	245.3	36.1	108694	50.3
0.0	0.0	244.8	36.0	108468	50.3
0.0	0.0	244.3	36.0	108457	50.3
0.0	0.0	243.8	36.2	109182	50.7
0.0	0.0	243.3	36.3	109552	50.8
0.0	0.0	242.8	36.4	109795	51.1
0.0	0.0	242.3	36.4	109607	51.0
0.0	0.0	241.8	36.5	110033	50.9
0.0	0.0	241.3	36.5	110150	51.3
0.0	0.0	240.8	36.9	111246	51.6
0.0	0.0	240.3	36.8	111071	51.5
0.0	0.0	239.8	37.0	111442	51.9
0.0	0.0	239.3	37.0	111610	51.9
0.0	0.0	238.8	37.1	111794	51.9
0.0	0.0	238.3	37.1	111951	51.9
0.0	0.0	237.7	37.2	112178	52.3
0.0	0.0	237.2	37.4	112854	52.4
0.0	0.0	236.7	37.6	113388	52.6
0.0	0.0	236.2	37.7	113723	52.8
0.0	0.0	235.7	37.8	114015	53.0
0.0	0.0	235.2	37.9	114192	53.1
0.0	0.0	234.7	37.8	114019	53.0
0.0	0.0	234.2	37.9	114134	53.0
0.0	0.0	233.7	38.0	114668	53.2
0.0	0.0	233.2	38.2	115080	53.4
0.0	0.0	232.7	38.3	115386	53.7
0.0	0.0	232.2	38.4	115785	53.8
0.0	0.0	231.7	38.6	116380	54.0
0.0	0.0	231.2	38.8	117090	54.3
0.0	0.0	230.7	38.8	116923	54.3
0.0	0.0	230.2	39.0	117553	54.5
0.0	0.0	229.7	39.1	117746	54.7
0.0	0.0	229.1	39.1	117925	54.7
0.0	0.0	228.6	39.3	118505	55.0
0.0	0.0	228.1	39.4	118911	55.1
0.0	0.0	227.6	39.4	118890	55.1
0.0	0.0	227.1	39.5	119148	55.3
0.0	0.0	226.6	39.6	119505	55.5
0.0	0.0	226.1	39.8	119985	55.8
0.0	0.0	225.6	39.9	120394	56.0
