06-09-18 14:40:41

Radiation device:	U10 Accelerator
Energy:	6 MV
Controller:	CCU
Measurement device:	NWP484841
Field detector:	Thimble
Reference detector:	Thimble
SAD:	1000 mm
SSD:	1000 mm
Field size:	400 x 400 mm
Gantry angle:	0
Measurement medium:	Water
Scan type:	DiagonalMmPp
Scan mode:	Continuous

Points [mm]:
Inline	Crossline	Depth	Normalized field	Current field	Ratio
-241.8	-241.9	50.0	3.2	9839	2.7
-241.8	-241.9	50.0	3.2	10024	2.8
-241.4	-241.5	50.0	3.2	9842	2.7
-240.9	-241.0	50.0	3.2	9913	2.8
-240.6	-240.7	50.0	3.3	10096	2.8
-240.2	-240.3	50.0	3.2	9999	2.8
-239.9	-240.0	50.0	3.4	10567	2.9
-239.5	-239.6	50.0	3.3	10320	2.9
-239.2	-239.3	50.0	3.3	10376	2.9
-238.8	-238.9	50.0	3.4	10452	2.9
-238.4	-238.5	50.0	3.4	10674	3.0
-238.1	-238.2	50.0	3.4	10656	3.0
-237.7	-237.8	50.0	3.5	10826	3.0
-237.4	-237.5	50.0	3.5	10701	3.0
-237.0	-237.1	50.0	3.5	10979	3.1
-236.6	-236.8	50.0	3.6	11052	3.1
-236.3	-236.4	50.0	3.6	11192	3.1
-236.0	-236.0	50.0	3.6	11297	3.2
-235.6	-235.7	50.0	3.6	11146	3.1
-235.2	-235.3	50.0	3.6	11230	3.1
-234.9	-235.0	50.0	3.6	11251	3.1
-234.5	-234.6	50.0	3.7	11580	3.2
-234.2	-234.3	50.0	3.7	11524	3.2
-233.8	-233.9	50.0	3.8	11686	3.3
-233.4	-233.5	50.0	3.8	11895	3.3
-233.1	-233.2	50.0	3.8	11910	3.3
-232.7	-232.8	50.0	3.8	11884	3.3
-232.4	-232.5	50.0	3.9	12001	3.4
-232.0	-232.1	50.0	3.9	12003	3.4
-231.7	-231.7	50.0	3.9	12079	3.4
-231.3	-231.4	50.0	4.0	12377	3.5
-231.0	-231.0	50.0	4.0	12323	3.5
