06-09-18 14:37:49

Radiation device:	U10 Accelerator
Energy:	6 MV
Controller:	CCU
Measurement device:	NWP484841
Field detector:	Thimble
Reference detector:	Thimble
SAD:	1000 mm
SSD:	1000 mm
Field size:	400 x 400 mm
Gantry angle:	0
Measurement medium:	Water
Scan type:	DiagonalMpPm
Scan mode:	Continuous

Points [mm]:
Inline	Crossline	Depth	Normalized field	Current field	Ratio
236.1	-236.2	50.0	4.0	12310	3.5
236.1	-236.2	50.0	4.0	12310	3.5
235.7	-235.9	50.0	4.0	12331	3.5
235.1	-235.3	50.0	4.0	12543	3.5
234.7	-234.9	50.0	4.0	12425	3.5
234.3	-234.5	50.0	4.1	12789	3.6
234.0	-234.2	50.0	4.1	12752	3.6
233.8	-233.8	50.0	4.2	12905	3.6
233.5	-233.5	50.0	4.2	13010	3.7
233.1	-233.2	50.0	4.2	12918	3.6
232.7	-232.9	50.0	4.2	12958	3.7
232.3	-232.5	50.0	4.3	13390	3.8
232.0	-232.1	50.0	4.3	13406	3.8
231.7	-231.7	50.0	4.3	13301	3.8
231.3	-231.4	50.0	4.3	13350	3.8
231.0	-231.0	50.0	4.4	13616	3.8
230.6	-230.7	50.0	4.4	13575	3.8
230.2	-230.3	50.0	4.4	13613	3.8
229.9	-230.0	50.0	4.5	13818	3.9
229.5	-229.6	50.0	4.5	13976	3.9
229.2	-229.3	50.0	4.6	14136	4.0
228.8	-228.9	50.0	4.6	14271	4.0
228.5	-228.5	50.0	4.6	14307	4.0
228.1	-228.2	50.0	4.7	14490	4.1
227.7	-227.8	50.0	4.7	14581	4.1
227.4	-227.5	50.0	4.7	14613	4.1
227.0	-227.1	50.0	4.8	14806	4.2
226.7	-226.8	50.0	4.7	14669	4.1
226.3	-226.4	50.0	4.8	14917	4.2
225.9	-226.1	50.0	4.9	15049	4.2
225.6	-225.7	50.0	4.9	15211	4.3
225.2	-225.3	50.0	5.0	15410	4.3
224.9	-225.0	50.0	5.0	15475	4.4
224.5	-224.6	50.0	5.1	15671	4.4
224.2	-224.3	50.0	5.0	15454	4.4
223.8	-223.9	50.0	5.1	15756	4.4
223.4	-223.5	50.0	5.1	15932	4.5
223.1	-223.2	50.0	5.2	16158	4.6
222.7	-222.9	50.0	5.2	16091	4.5
222.4	-222.5	50.0	5.2	16222	4.6
222.0	-222.1	50.0	5.3	16395	4.6
221.7	-221.8	50.0	5.3	16504	4.7
