08-10-2012 11:20:05

Radiation device: UTest
Energy: 6 MeV
Controller:	Unspecified
Measurement device:	Film
Field detector:	Film
Reference detector:	Undefined
SAD:	1000 mm
SSD:	1000 mm
Field size:	100 x 100 mm
Gantry angle: 3
Measurement medium: Unknown
Scan type:	Freescan
Scan mode:	Continuous

Points [mm]:
Inline	Crossline	Depth	Normalized field	Current field	Ratio
133.98	39.83	0.00	1.13	0.00	0.00	
133.98	40.00	0.00	1.13	0.00	0.00	
133.98	40.17	0.00	1.13	0.00	0.00	
133.97	40.34	0.00	1.13	0.00	0.00	
133.97	40.51	0.00	1.13	0.00	0.00	
133.97	40.68	0.00	1.13	0.00	0.00	
133.96	40.85	0.00	1.13	0.00	0.00	
133.96	41.02	0.00	1.13	0.00	0.00	
133.95	41.19	0.00	1.14	0.00	0.00	
133.95	41.36	0.00	1.15	0.00	0.00	
133.95	41.53	0.00	1.16	0.00	0.00	
133.94	41.69	0.00	1.17	0.00	0.00	
133.94	41.86	0.00	1.18	0.00	0.00	
133.94	42.03	0.00	1.18	0.00	0.00	
133.93	42.20	0.00	1.17	0.00	0.00	
133.93	42.37	0.00	1.17	0.00	0.00	
133.92	42.54	0.00	1.17	0.00	0.00	
133.92	42.71	0.00	1.16	0.00	0.00	
133.92	42.88	0.00	1.16	0.00	0.00	
133.91	43.05	0.00	1.16	0.00	0.00	
133.91	43.22	0.00	1.16	0.00	0.00	
133.91	43.39	0.00	1.16	0.00	0.00	
133.90	43.56	0.00	1.16	0.00	0.00	
133.90	43.73	0.00	1.16	0.00	0.00	
133.89	43.90	0.00	1.16	0.00	0.00	
133.89	44.07	0.00	1.17	0.00	0.00	
133.89	44.24	0.00	1.17	0.00	0.00	
133.88	44.41	0.00	1.18	0.00	0.00	
133.88	44.58	0.00	1.19	0.00	0.00	
133.88	44.74	0.00	1.19	0.00	0.00	
133.87	44.91	0.00	1.19	0.00	0.00	
133.87	45.08	0.00	1.20	0.00	0.00	
133.86	45.25	0.00	1.20	0.00	0.00	
133.86	45.42	0.00	1.21	0.00	0.00	
133.86	45.59	0.00	1.21	0.00	0.00	
133.85	45.76	0.00	1.21	0.00	0.00	
133.85	45.93	0.00	1.21	0.00	0.00	
133.85	46.10	0.00	1.21	0.00	0.00	
133.84	46.27	0.00	1.21	0.00	0.00	
133.84	46.44	0.00	1.21	0.00	0.00	
133.84	46.61	0.00	1.20	0.00	0.00	
133.83	46.78	0.00	1.20	0.00	0.00	
133.83	46.95	0.00	1.20	0.00	0.00	
133.82	47.12	0.00	1.20	0.00	0.00	
133.82	47.29	0.00	1.20	0.00	0.00	
133.82	47.46	0.00	1.20	0.00	0.00	
133.81	47.63	0.00	1.21	0.00	0.00	
133.81	47.79	0.00	1.21	0.00	0.00	
133.81	47.96	0.00	1.21	0.00	0.00	
133.80	48.13	0.00	1.22	0.00	0.00	
133.80	48.30	0.00	1.23	0.00	0.00	
133.79	48.47	0.00	1.23	0.00	0.00	
133.79	48.64	0.00	1.24	0.00	0.00	
133.79	48.81	0.00	1.25	0.00	0.00	
133.78	48.98	0.00	1.25	0.00	0.00	
133.78	49.15	0.00	1.25	0.00	0.00	
133.78	49.32	0.00	1.25	0.00	0.00	
133.77	49.49	0.00	1.24	0.00	0.00	
133.77	49.66	0.00	1.24	0.00	0.00	
133.76	49.83	0.00	1.25	0.00	0.00	
133.76	50.00	0.00	1.25	0.00	0.00	
133.76	50.17	0.00	1.26	0.00	0.00	
133.75	50.34	0.00	1.26	0.00	0.00	
133.75	50.51	0.00	1.27	0.00	0.00	
133.75	50.68	0.00	1.27	0.00	0.00	
133.74	50.84	0.00	1.27	0.00	0.00	
133.74	51.01	0.00	1.27	0.00	0.00	
133.74	51.18	0.00	1.27	0.00	0.00	
133.73	51.35	0.00	1.27	0.00	0.00	
133.73	51.52	0.00	1.30	0.00	0.00	
133.72	51.69	0.00	1.31	0.00	0.00	
133.72	51.86	0.00	1.32	0.00	0.00	
133.72	52.03	0.00	1.32	0.00	0.00	
133.71	52.20	0.00	1.32	0.00	0.00	
133.71	52.37	0.00	1.29	0.00	0.00	
133.71	52.54	0.00	1.28	0.00	0.00	
133.70	52.71	0.00	1.28	0.00	0.00	
133.70	52.88	0.00	1.29	0.00	0.00	
133.69	53.05	0.00	1.30	0.00	0.00	
133.69	53.22	0.00	1.31	0.00	0.00	
133.69	53.39	0.00	1.32	0.00	0.00	
133.68	53.56	0.00	1.32	0.00	0.00	
133.68	53.73	0.00	1.32	0.00	0.00	
133.68	53.89	0.00	1.32	0.00	0.00	
133.67	54.06	0.00	1.32	0.00	0.00	
133.67	54.23	0.00	1.32	0.00	0.00	
133.66	54.40	0.00	1.32	0.00	0.00	
133.66	54.57	0.00	1.33	0.00	0.00	
133.66	54.74	0.00	1.34	0.00	0.00	
133.65	54.91	0.00	1.35	0.00	0.00	
133.65	55.08	0.00	1.35	0.00	0.00	
133.65	55.25	0.00	1.35	0.00	0.00	
133.64	55.42	0.00	1.35	0.00	0.00	
133.64	55.59	0.00	1.35	0.00	0.00	
133.64	55.76	0.00	1.35	0.00	0.00	
133.63	55.93	0.00	1.35	0.00	0.00	
133.63	56.10	0.00	1.34	0.00	0.00	
133.62	56.27	0.00	1.34	0.00	0.00	
133.62	56.44	0.00	1.34	0.00	0.00	
133.62	56.61	0.00	1.34	0.00	0.00	
